MSG:2:0	던전 생활은 체력이 기본! 야성미 넘치는 몬스터!
MSG:2:1	말랑한 몸으로 출렁출렁 떠도는 꽤 약한 몬스터
MSG:2:2	재빠른 몸놀림의 몬스터 쪼르르 다가와 덥석 물어!
MSG:2:3	떨어진 곳에서 너트를 던지는 귀여운 얼굴의 얄미운 녀석
MSG:2:4	싸움을 찾아서 여기저기 철벅철벅 제멋대로인 자유로운 반어인
MSG:2:5	귀엽다고 방심 금물! ATB 리셋 바늘을 가끔 쏜다!
MSG:2:6	왕눈알 주의보! 둥실둥실 떠다니다 상대를 찾으면 끈질기게 쫓아온다
MSG:2:7	거대한 몸을 떨며 먹이를 찾아 떠도는 강적! 등껍질에 숨으면 완벽 방어!
MSG:2:8	변덕쟁이? 불꽃의 던전 아가씨! 넋 놓고 보다간 따끔한 맛을 봐
MSG:2:9	뻥 뚫린 눈과 입이 포인트! 공격할 때도 포커페이스인 사보텐더
MSG:2:10	던전 안에서 수상한 실험! 잡히면 실험대에 오를걸!
MSG:2:11	날카로운 발톱이 번쩍 빛난다! 먹이를 찾아 던전에 사는 공포의 야수!
MSG:2:12	보통 공격으로는 흩어질 뿐 좀처럼 안 죽는 부활 몬스터 불 공격이 효과적!
MSG:2:13	던전에서 떠드는 게 누구야! 머리 위 까마귀를 덤비게 할 거야!
MSG:2:14	신출귀몰!? 아이템을 노리고 다가오는 도둑질 솜씨를 조심해!!
MSG:2:15	느리지만 강력한 공격 주의! 단단한 돌머리로 초코보를 노린다!
MSG:2:16	장비를 녹슬게 하는 얄미운 녀석 끈적이를 밟으면 슬로가 된다!
MSG:2:17	어둠 속에서는 속도 업! 망치를 한 손에 들고 콩콩 때린다!
MSG:2:18	차가운 몸을 삐걱이며 강적을 찾으면 신나서 덤빈다! 자랑하는 괴력의 일격!
MSG:2:19	희미하게 빛나며 떠돌아다닌다 동료도 부르는 수수께끼 몬스터!
MSG:2:20	따라오지만 공격은 안 한다 무섭지 않다고 방심하면 화가 나서 자폭! 요주의!!
MSG:2:21	별명은 걸어 다니는 저금통! 길을 원하면 빨리 쓰러뜨려!
MSG:2:22	만나면 무서운 괴력 거인! 주먹으로 때리면 엄청 아프다!
MSG:2:23	이 녀석을 만나면 운이 없다 하는 짓마다 얄미운 녀석
MSG:2:24	바이오의 힘을 가진 파란 몬스터 보기와 달리 강적이야!
MSG:2:25	재빠른 움직임과 원거리에서 쏘는 바늘 공격! 조금 얄미운 몬스터!
MSG:2:26	건드리지 않는 항아리엔 해가 없다! 할 일을 하면 사라지는 신기한 몬스터
MSG:2:27	보물 상자에 숨어 먹이를 기다린다! 웃는 가면이 섬뜩해!
MSG:2:28	부르지도 않았는데 안녕하세요! 다음 층으로 안내~!! 절대 무적!
MSG:2:29	카미라 아빠의 마음을 바탕으로 신기한 힘이 변한 모습
MSG:2:30	들키면 끈질기게 계속 쫓아온다 안전을 위해 확실히 쓰러뜨려!
MSG:2:31	생기를 노리는 마른 나무 몬스터 피로를 받으면 싸우기 힘들어!
